cantidad,modelo,caja,,,,,,,,,
1,j7 neo incell,a,,,,,,,,,
1,k50 q60 marco,a,,,,,,,,,
,g42 oled,a,,,,,,,,,
,note 9,a,,,,,,,,,
,a10,a,,,,,,,,,
,e5 play go,a,,,,,,,,,
1,,a,,,,,,,,, 
1,e7 marco,a,,,,,,,,,
,,,,,,,,,,,
1,,b,,,,,,,,,
1,g22 e32,b,,,,,,,,,
1,,b,,,,,,,,,
,g10 g20 g30,b,,,,,,,,,
1,j2 prime touch gris,b,,,,,,,,,
,a21s,b,,,,,,,,,
,g24 marco,b,,,,,,,,,
,TCL 505S,b,,,,,,,,,
1,e22,b,,,,,,,,,
,k40s k51s,b,,,,,,,,,
,zte blade v20 v30 ,b,,,,,,,,,
,,,,,,,,,,,
,                                                 ,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,a10 marco,c,,,,,,,,,
2,e5 g6 play,c,,,,,,,,,
1,a12 marco,c,,,,,,,,,
1,a31,c,,,,,,,,,
,g22 e32,C,,,,,,,,,
1,e40 ver,c,,,,,,,,,
1,a20s marco,d,,,,,,,,,
2,e32,d,,,,,,,,,
2,e22 MARCO,d,,,,,,,,,
1,a14 4g inc,d,,,,,,,,,
,gt14 marco,d,,,,,,,,,
1,a16 5g,d,,,,,,,,,
1,a04 prem,d,,,,,,,,,
,,d,,,,,,,,,
,,,,,,,,,,,
,tcl 20b ver,e,,,,,,,,,
,redmi 13c,e,,,,,,,,,
2,a31,e,,,,,,,,,
1,a32 5g,e,,,,,,,,,
,e6s test ,e,,,,,,,,,
,tcl 20y marco,e,,,,,,,,,
,e14 g04 g24,e,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,note 7,f,,,,,,,,,
1,a13 m336b ver,f,,,,,,,,,
,e7i power marco,f,,,,,,,,,
1,a03 multi ver,f,,,,,,,,,
  ,a51 big oled,f,,,,,,,,,
,a23 5g orig,f,,,,,,,,,
,a04,F,,,,,,,,,
,redmi 14c prem,f,,,,,,,,,
,a20s,f,,,,,,,,,
,,,,,,,,,,,
1,g10 g20 g30,g,,,,,,,,,
,e40,g,,,,,,,,,
,g9 play marco,g,,,,,,,,,
,,g,,,,,,,,,
2,j2 prime display,g,,,,,,,,,
,a20 incell marco,g,,,,,,,,,
,a50 marco incell,g,,,,,,,,,
,g23 marco,g,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,k40 ver,h,,,,,,,,,
,e32 mco ver,h,,,,,,,,,
,a10 orig,h,,,,,,,,,
,a03s marco,h,,,,,,,,,
,,,,,,,,,,,
2,a04,i,,,,,,,,,
,tcl 405,i,,,,,,,,,
,,i,,,,,,,,,
,,i,,,,,,,,,
,e6s rayao,i,,,,,,,,,
,e6s e6i,i,,,,,,,,,
,a16 oled,i,,,,,,,,,
,e6s marco,i,,,,,,,,,
,a10 marco,i,,,,,,,,,
,,,,,,,,,,,
1,g22 marco top,j,,,,,,,,,
1,j2 prime display,j,,,,,,,,,
2,g13 g23 marco top,j,,,,,,,,,
2,g7 power marco,j,,,,,,,,,
,,j,,,,,,,,,
1,a05 premium,j,,,,,,,,,
,,j,,,,,,,,,
,,,,,,,,,,,
1,g15 g05,k,,,,,,,,,
,g8 power lite marco,k,,,,,,,,,
2,a12 a02 multi,k,,,,,,,,,
,j6,k,,,,,,,,,
,a20s marc,k,,,,,,,,,
,a20 incell,k,,,,,,,,,
1,g22 marco top,k,,,,,,,,,
,,,,,,,,,,,
,j2 core,l,,,,,,,,,
,g41 t20,l,,,,,,,,,
,tcl 10y sin touch,|  ,,,,,,,,,
1,,l,,,,,,,,,
,g14 marco,l,,,,,,,,,
,k52 marco,l,,,,,,,,,
1,redmi note 11 ,l,,,,,,,,,
1,,l,,,,,,,,,
,,,,,,,,,,,
1,a02 marco,m,,,,,,,,,
1,a51,m,,,,,,,,,
1,j2 prime display,m,,,,,,,,,
1,j2 prime touch gris,m,,,,,,,,,
1,e13 marco br,m,,,,,,,,,
1,14c marco,m,,,,,,,,,
1,g20,m,,,,,,,,,
1,k52,m,,,,,,,,,
1,g32  marco,m,,,,,,,,,
,,,,,,,,,,,
,,n,,,,,,,,,
1,g35 marco,n,,,,,,,,,
1,a20s,n,,,,,,,,,
1,e7,n,,,,,,,,,
1,e5 play go,n,,,,,,,,,
2,a22 4g oled simple,n,,,,,,,,,
1,g9 power,n,,,,,,,,,
1,a31 marco 2,n,,,,,,,,,
,,n,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,j2 prime 2 touch ,o,,,,,,,,,
1,e6 play marco,o,,,,,,,,,
2,e6i mco,o,,,,,,,,,
1,e7i marco,o,,,,,,,,,
1,,o,,,,,,,,,
1,a13 336b,o,,,,,,,,,
1,tcl 405 marco,o,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
,,p,,,,,,,,,
,,p,,,,,,,,,
1,redmi 13c,p,,,,,,,,,
1,tcl 40 nxtpaper,p,,,,,,,,,
1,,p,,,,,,,,,
1,e20 mco ver,p,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,k50 q60 marco,q,,,,,,,,,
1,,q,,,,,,,,,
1,j7 16 inc dorado,q,,,,,,,,,
1,g42 oled,q,,,,,,,,,
,a03 multi,q,,,,,,,,,
2,e32 marco,q,,,,,,,,,
,g8 power lite,q,,,,,,,,,
,tcl 505,q,,,,,,,,----,
,,,,,,,,,,,
,,r,,,,,,,,,
,g22 e32,r,,,,,,,,,
2,e20 marco,r,,,,,,,,,
2,g54 marco,r,,,,,,,,,
,iphone 6 marco,r,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,a20s marco,s,,,,,,,,,
,g14 marco,s,,,,,,,,,
,a10 marco,s,,,,,,,,,
,lg k9,s,,,,,,,,,
,,s,,,,,,,,,
2,g9 power marco,s,,,,,,,,,
,,s,,,,,,,,,
,,s,,,,,,,,,
,,s,,,,,,,,,
,,,,,,,,,,,
,iphone 6,t,,,,,,,,,
,g20 ver,t,,,,,,,,,
,k4 2017,t,,,,,,,,,
,a12 sp ver,t,,,,,,,,,
,a10 ver,t,,,,,,,,,
,a12 ver,t,,,,,,,,,
, ,t,,,,,,,,,
,tcl 20y,t,,,,,,,,,
,,,,,,,,,,,
1,,u,,,,,,,,,
1,a11,u,,,,,,,,,
,,u,,,,,,,,,
,e6s marco,u,,,,,,,,,
,e6i marco,u,,,,,,,,,
1,g8 power lite marco,u,,,,,,,,,
,,u,,,,,,,,,
1,e13 marco,u,,,,,,,,,
,,u,,,,,,,,,
,,v,,,,,,,,,
,a20 marco sunlong,v,,,,,,,,,
,a20s,v,,,,,,,,,
,redmi note 8 marco,v,,,,,,,,,
1, ,v,,,,,,,,,
,a21s rayado marco,v,,,,,,,,,
1,e22 marco br,v,,,,,,,,,
,zte blade a34 a54,v,,,,,,,,,
,,v,,,,,,,,,
,lg k54 marco,w,,,,,,,,,
,a12 sp marco,w,,,,,,,,,
,,w,,,,,,,,,
,e6i marco,w,,,,,,,,,
,g60s marco,w,,,,,,,,,
,e6s e6i,w,,,,,,,,,
2,g14 marco,w,,,,,,,,,
1,a14 4g,w,,,,,,,,,
,,,,,,,,,,,
,G8 PLUS MARCO,x,,,,,,,,,
,TCL 20SE,x,,,,,,,,,
,a50 oled,x,,,,,,,,,
1,,x,,,,,,,,,
3,E7 2 ver,x,,,,,,,,,
1,redmi 10c marco,x,,,,,,,,,
,,x,,,,,,,,,
2,  ,,,,,,,,,,
1,,,,,,,,,,,
,,y,,,,,,,,,
1,,y,,,,,,,,,
,,y,,,,,,,,,
,a20s,y,,,,,,,,,
1,,y,,,,,,,,,
,j6,y,,,,,,,,,
,tcl 20c 20c plus,y,,,,,,,,,
,tcl 20se,y,,,,,,,,,
,,z,,,,,,,,,
1,e20 marco br,z,,,,,,,,,
,,z,,,,,,,,,
,,z,,,,,,,,,
,e6i solo marco,z,,,,,,,,,
1,,z,,,,,,,,,
,a05,z,,,,,,,,,
,,z,,,,,,,,,
,,,,,,,,,,,
1,,aa,,,,,,,,,
,,aa,,,,,,,,,
,TCL 30SE VER,aa,,,,,,,,,
,g5s plus,aa,,,,,,,,,
,e14 g04,aa,,,,,,,,,
2,e7i marco,aa,,,,,,,,,
2,g8 power lite 1 ver,aa,,,,,,,,,
,k51,aa,,,,,,,,,
,,,,,,,,,,,
,,ab,,,,,,,,,
,,ab,,,,,,,,,
1,a20 incell t20 marco,ab,,,,,,,,,
1,,ab,,,,,,,,,
1,a14 5g marco,ab,,,,,,,,,
1,a15 marco incell,ab,,,,,,,,,
1,,ab,,,,,,,,,
,k61,ab,,,,,,,,,
,,,,,,,,,,,
,j7 neo ver,ac,,,,,,,,,
,g14 g54,ac,,,,,,,,,
,g8,ac,,,,,,,,,
,e22 - e20 ver,ac,,,,,,,,,
,,ac,,,,,,,,,
1,k50,ac,,,,,,,,,
,g22 orig,ac,,,,,,,,,
,g8 marco,ac,,,,,,,,,
,g23 ver,ac,,,,,,,,,
,,,,,,,,,,,
2,a03 marco  1 ver,ad,,,,,,,,,
1,g32 marco ,ad,,,,,,,,,
,g8 power lite,ad,,,,,,,,,
,a01,ad,,,,,,,,,
,g7 power marco,ad,,,,,,,,,
,,ad,,,,,,,,,
